uid,title,genre,episodes,members,popularity,ranked,score,img_url,link
31490,One Piece Film: Gold,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",1,84699,1295,484,8.07,https://cdn.myanimelist.net/images/anime/12/81081.jpg,https://myanimelist.net/anime/31490/One_Piece_Film__Gold
2448,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,"['Action', 'Sci-Fi', 'Mecha']",1,23288,2960,483,8.07,https://cdn.myanimelist.net/images/anime/5/2829.jpg,https://myanimelist.net/anime/2448/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG_-_Individual_Eleven
27831,Durarara!!x2 Ten,"['Action', 'Mystery', 'Supernatural']",12,248893,404,482,8.07,https://cdn.myanimelist.net/images/anime/8/74981.jpg,https://myanimelist.net/anime/27831/Durararax2_Ten
36896,Boku no Hero Academia the Movie 1: Futari no Hero,"['Action', 'Shounen', 'Super Power']",1,220604,490,481,8.07,https://cdn.myanimelist.net/images/anime/1736/93138.jpg,https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"['Slice of Life', 'Supernatural', 'Drama']",1,168801,653,480,8.07,https://cdn.myanimelist.net/images/anime/5/49993.jpg,https://myanimelist.net/anime/15039/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie
1065,Touch,"['Sports', 'Romance', 'School', 'Drama', 'Slice of Life', 'Shounen']",101,22589,3007,479,8.08,https://cdn.myanimelist.net/images/anime/3/53087.jpg,https://myanimelist.net/anime/1065/Touch
4053,Tennis no Ouji-sama: Zenkoku Taikai-hen - Final,"['Comedy', 'Sports', 'School', 'Shounen']",7,28114,2662,478,8.08,https://cdn.myanimelist.net/images/anime/9/7525.jpg,https://myanimelist.net/anime/4053/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen_-_Final
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",1,40885,2167,477,8.08,https://cdn.myanimelist.net/images/anime/11/65927.jpg,https://myanimelist.net/anime/20371/Sekaiichi_Hatsukoi_Movie__Yokozawa_Takafumi_no_Baai
846,School Rumble Ni Gakki,"['Comedy', 'Romance', 'School', 'Shounen']",26,121544,924,476,8.08,https://cdn.myanimelist.net/images/anime/5/75490.jpg,https://myanimelist.net/anime/846/School_Rumble_Ni_Gakki
538,Shin Tenchi Muyou!,"['Comedy', 'Harem', 'Romance', 'Sci-Fi', 'Shounen']",26,28368,2651,4046,6.94,https://cdn.myanimelist.net/images/anime/4/61149.jpg,https://myanimelist.net/anime/538/Shin_Tenchi_Muyou
